H4,H1,H4,L4,L1,H3
H4,H3,L4,H3,L3,L4
L2,H1,H4,L2,M,H4
L1,L3,L5,L5,H2,H3
M,H4,L2,H3,H2,H1
L2,H2,L2,H1,H4,H2
H3,H4,M,H1,L4,M
L1,M,L3,L1,H2,L2
L2,L2,L5,L1,L1,L4
L1,L5,H3,L3,H2,S
H3,L5,L1,L5,H1,L1
H4,L5,L3,L2,L2,H2
L1,H3,S,M,L1,H3
M,L3,M,H4,H2,M
L3,H3,L4,H3,H4,H1
L5,L3,L5,L3,H3,H1
H4,H2,L5,H3,H1,H1
L5,L3,L2,H4,H4,L3
L2,L5,M,L1,H3,H3
H3,H1,H2,L1,L1,L5
L5,H2,L2,M,L4,L2
H4,H4,L1,L1,L3,L4
L2,H3,H3,L4,H2,L2
L2,L3,L4,L3,L2,H1
H3,H1,L1,H3,H1,L5
M,L4,H1,L2,H4,L2
L2,H2,H3,H4,H3,L2
H1,L2,H2,M,L5,L1
L1,L4,L2,H2,L1,L2
H3,L2,H4,L1,L1,H3
H3,H4,H3,L1,H4,H2
H3,M,M,H1,H1,S
H2,H1,L1,L2,L1,H1
L1,L5,H3,H4,L2,H4
H1,L2,L2,H1,M,L3
L2,L2,L4,L3,H3,H4
L2,H1,M,L4,L5,M
M,L2,H3,H2,H3,H4
H3,L4,L1,L1,L5,L1
H4,H2,H3,L2,L5,L5
L3,H2,H2,H4,M,H4
H3,L3,L3,H3,H4,L4
H4,H3,L1,M,S,L4
L1,H1,H3,H4,L2,L1
H1,L2,L5,L3,H4,L5
L5,H2,L5,L3,L1,L3
H4,L1,H4,H2,L5,H4
L4,L3,L2,H4,L1,H2
L3,M,L1,M,M,L1
L4,L1,L2,L1,L2,L3
L1,H2,L5,L5,H2,L3
H2,H2,L3,H3,H1,L1
L2,L2,H3,L4,L4,H3
H2,L1,H1,H4,L1,M
H4,L2,M,H1,H2,L4
H3,L4,H2,L2,H2,H3
L5,H2,H3,M,L5,H4
H4,L3,L3,H4,L2,L4
L1,L5,H3,H3,H4,L1
H3,H2,L5,L4,M,L3
L3,M,M,L5,H3,L1
L3,H3,L4,L3,L3,L1
L4,L5,L4,H1,L3,H3
L2,L3,L2,H4,H2,L4
M,H4,L4,H2,H1,H4
L1,M,M,L5,L5,H1
L1,L2,H1,L1,L5,L4
H4,L1,H3,L2,H3,L5
L5,L1,H3,L1,M,H4
H4,L1,H2,L5,L5,H4
L4,L3,H3,H4,H3,L4
M,L5,H4,L2,H2,H3
H3,L5,L3,L1,L5,H2
H2,H1,H3,L2,L2,L3
H4,L2,H1,L3,H1,L3
H3,H4,M,H2,H4,H1
L5,L2,L1,M,H3,H1
H4,H1,H1,H4,L1,H2
H3,L2,L4,L3,L5,L5
L1,H2,L2,L4,L2,L2
M,H3,H4,H2,L5,M
L1,H4,L1,L3,L3,L1
L3,H3,H3,L4,L3,L5
L1,L1,L1,H4,L2,L5
L1,L3,H2,H4,L2,L4
L2,H4,L3,L5,L2,L4
H3,H3,L1,L1,L4,H3
L2,H3,H4,L1,H2,L1
L1,H4,L4,L5,H3,L1
H2,L2,L5,H2,H2,H3
H3,H2,L2,M,L2,L2
H1,L5,L5,L5,L4,L5
L1,M,H2,L5,L3,H3
H4,L5,L5,L2,L3,H4
L5,L1,L2,S,M,H1
L1,L4,H3,H3,H4,M
L2,L1,L2,L1,L4,L3
H3,H4,L5,H3,H4,H1
H4,H2,H4,M,H1,H3
L1,H3,H4,H3,H1,L2
H2,H4,L1,H2,L4,L5
L3,L5,L5,H1,L3,L3
L2,L4,M,L2,L5,H2
L4,H3,L5,H3,L4,L4
L3,L4,L2,L3,H2,H2
H3,L4,H4,L2,L5,M
L5,L1,L1,L3,L2,H2
L3,H3,L4,H2,L1,L4
M,L1,H4,L1,H1,L1
L2,L5,L4,L3,H2,L2
L1,H3,H4,L1,L3,H2
H1,L1,H1,H4,H2,L1
H3,L1,L2,L5,L1,L4
L3,L3,M,H4,L5,M
H1,H1,L1,H1,L2,L5
H4,M,H4,H3,L5,L3
L1,H1,H3,L5,L2,L3
L2,H3,H4,L5,H3,L3
H1,H3,H1,L3,L1,H2
L1,L1,L4,L3,H3,H4
H3,H4,L1,S,L5,L3
L4,H4,L4,L4,L3,L1
H2,H2,L2,H1,L3,L2
L2,L2,H3,L5,M,L3
L3,H3,M,L3,L2,L1
H4,H4,H1,H3,H4,L1
L5,H4,L4,H4,H4,L3
H2,H1,H1,H2,L1,H4
H4,L3,H4,M,L3,H3
M,H4,L1,H1,L3,H3
L3,L1,H2,L1,H3,L4
H2,L5,L1,L5,L3,L1
L2,H1,L1,L2,H3,L2
H4,H1,M,L4,H3,L3
H3,L1,L1,H3,H3,H3
H4,L1,H1,H1,H4,H2
L5,H4,H2,L3,L3,H3
H3,H2,L3,H2,L1,L5
H2,H2,L2,H4,M,L4
H4,L3,L1,L3,L5,H3
H4,L1,M,H1,H2,L3
L4,L4,L5,M,L1,H4
H1,H4,L3,L5,H3,L5
H4,H1,L5,H3,L5,L1
L3,L2,L4,H4,M,M
H3,L1,M,L5,L1,L1
H3,H2,H4,L2,L3,L2
H4,L2,L2,L5,L1,L4
L1,L3,H3,L2,H2,L3
L4,L5,L2,L2,L3,L5
L4,M,L5,L4,H4,H4
H3,L3,L1,L2,M,H3
L5,L3,L5,H2,L2,H4
H1,L2,L5,L4,L4,H3
L3,H3,L4,L4,H1,H4
L4,H4,L5,L1,S,H1
H3,L1,H2,L1,H1,L1
M,H1,H4,H1,H1,M
L5,H3,L4,L4,L4,H3
H3,L3,H3,H1,H4,H4
L5,L4,H3,L1,L1,L2
L2,H4,H1,H4,H3,H2
H2,H3,H4,M,L2,L1
L5,H4,L4,L2,H3,H1
H4,H2,H4,H1,M,H3
L2,L1,L1,L3,L5,H3
L2,H4,L5,L4,L4,H4
L4,H3,L1,M,L5,H3
L2,H1,H3,H3,L4,H3
L3,L5,L1,L2,L2,H3
H1,L1,L2,H4,L5,H1
S,L5,H2,L5,H2,H4
